option_name,bytes
ez-toc-post-content-core-level,68266
fs_accounts,31262
wpseo_titles,16065
bz_user_roles,11148
duplicator_pro_package_active,9967
quadmenu_chau-cay,8624
rw_options,5841
wpseo,5513
itsec-storage,3976
wpseo_taxonomy_meta,3757
vi_woo_product_variation_swatches_params,3720
googlefonts_options,3534
dgwt_wcas_settings,3040
ez-toc-settings,2383
ez-toc-list,2349
woosuite_variation_swatches_option,2231
woosvi_options_settings,2179
updraft_last_backup,1620
rmp_customize_strings,1586
quickbuy_options,1261
flra_options,788
berocket_admin_notices,774
active_plugins,761
megamenu_settings,760
rmp_options,732
berocket_current_displayed_notice,721
fs_active_plugins,629
wpseo_social,602
widget_woocommerce_layered_nav,599
widget_media_image,534
woo_variation_swatches,485
quadmenu_chau-cay_locations,392
woocommerce_bacs_accounts,356
wp_smtp_options,350
widget_wp_statsmechanic,337
wpmm_options,312
menu-icons,304
rw_api_cache,298
wpcf7,280
kksr_sd,276
woocommerce_task_list_tracked_completed_tasks,242
fs_clone_management,242
updraft_cloudfiles,221
woocommerce_gateway_order,219
updraft_openstack,212
updraft_s3,211
widget_woocommerce_products,204
widget_tag_cloud,189
rmp_security,184
updraft_dropbox,183
updraft_ftp,183
scporder_options,179
updraft_s3generic,179
woocommerce_vietqr_accounts,177
ivole_review_forms,170
_pum_installed_themes,169
woocommerce_customer_new_account_settings,169
updraft_dreamobjects,157
updraft_googledrive,154
themeisle_sdk_notifications,152
wpcode_admin_notices,151
updraft_updraftvault,148
pum_all_theme_close_text_cache,137
premmerce_permalink_manager,111
ot_vm,107
woocommerce_clear_ces_tracks_queue_for_page,102
cf7_pum_474,94
cf7_pum_2062,94
cf7_pum_3904,94
cf7_pum_471,94
cf7_pum_4087,94
widget_nav_menu,93
updraft_onedrive,93
updraft_azure,93
updraft_sftp,93
updraft_googlecloud,93
updraft_backblaze,93
updraft_webdav,93
updraft_pcloud,93
wp_mail_smtp_notifications,90
easy_wp_smtp_notifications,90
ihaf_insert_header,89
ivole_customer_consent_text,86
rmp_admin_notices,81
widget_woocommerce_price_filter,75
popmake_settings,75
is_search_2164,73
fs_gdpr,70
woocommerce_maxmind_geolocation_settings,69
quadmenu_chau-cay-transients,63
kksr_strategies,59
ihaf_activated,58
berocket_admin_notices_rate_stars,57
woocommerce_task_list_completed_lists,56
pum_privacy_cookie_list,55
wp_mail_smtp_review_notice,50
easy_wp_smtp_user_feedback_notice,50
duplicator_pro_ui_view_state,50
is_search_2163,49
_transient_jetpack_autoloader_plugin_paths,47
