"option_name","bytes"
"wp_installer_settings","104464"
"rewrite_rules","28114"
"theme_mods_flatsome-child","13936"
"wp_user_roles","10922"
"br_get_taxonomy_hierarchy_product_cat","5346"
"br_filters_options","5254"
"thwvs_swatches_advanced_settings","4841"
"woof_settings","4810"
"wpseo_titles","4351"
"sidebars_widgets","3950"
"cron","3718"
"vi_woo_product_variation_swatches_params","3564"
"itsec-storage","3225"
"theme_mods_flatsome","1956"
"widget_custom_html","1912"
"widget_woocommerce_products","1568"
"widget_woocommerce_product_categories","1390"
"quickbuy_options","1230"
"_transient_wc_attribute_taxonomies","1221"
"tadv_settings","1210"
"widget_flatsome_recent_posts","944"
"widget_block_widget","877"
"woocommerce_paypal_settings","814"
"wpseo_taxonomy_meta","803"
"widget_yith-woo-ajax-navigation","794"
"berocket_admin_notices","764"
"active_plugins","743"
"yith_system_info","679"
"wpseo","618"
"wpseo_social","569"
"woocommerce_bacs_settings","527"
"widget_categories","505"
"menu-icons","450"
"widget_woocommerce_layered_nav","435"
"yit_wcan_options","410"
"widget_woocommerce_recently_viewed_products","394"
"widget_nav_menu","394"
"widget_null-instagram-feed","388"
"woocommerce_bacs_accounts","376"
"theme_mods_twentytwenty","322"
"wp_smtp_options","316"
"widget_text","303"
"widget_woof_widget","277"
"woocommerce_cod_settings","274"
"widget_recent-posts","258"
"widget_archives","239"
"widget_pages","227"
"widget_woocommerce_price_filter","213"
"pum_privacy_cookie_list","205"
"widget_woocommerce_product_tag_cloud","200"
"woocommerce_permalinks","190"
"woocommerce_registration_privacy_policy_text","175"
"widget_woocommerce_layered_nav_filters","170"
"_pum_installed_themes","169"
"wpcf7","162"
"woocommerce_checkout_privacy_policy_text","161"
"widget_woocommerce_top_rated_products","160"
"itsec_active_modules","155"
"themeisle_sdk_notifications","155"
"pum_all_theme_close_text_cache","150"
"widget_recent-comments","148"
"tadv_admin_settings","145"
"widget_tag_cloud","128"
"widget_woocommerce_rating_filter","118"
"widget_woocommerce_widget_cart","110"
"yit_recently_activated","110"
"ot_vm","107"
"widget_upsell_widget","106"
"widget_woocommerce_recent_reviews","105"
"woocommerce_free_shipping_2_settings","96"
"widget_search","94"
"cf7_pum_8","94"
"cf7_pum_9","94"
"berocket_framework_option_global","92"
"popmake_settings","76"
"woocommerce_gateway_order","69"
"widget_calendar","60"
"widget_meta","59"
"berocket_admin_notices_rate_stars","56"
"recently_activated","54"
"widget_rss","40"
